year,total,FF_count,FF_pct,SI_count,SI_pct,FC_count,FC_pct,SL_count,SL_pct,ST_count,ST_pct,CU_count,CU_pct,CH_count,CH_pct,FS_count,FS_pct,other_count,other_pct
2015,701649,249546,35.5656460708987,149318,21.281010875808274,40063,5.709834974467291,100086,14.264397155842879,564,0.08038207137756913,52842,7.531115985343099,74156,10.568817172118823,11081,1.5792796683241905,23993,3.4195160258191777
2016,715172,258392,36.13004983416577,144394,20.190108113852332,37470,5.239299077704384,104466,14.607115491098646,1663,0.23253147494588713,61141,8.549132236720677,72507,10.138400272941334,10290,1.4388147186970406,24849,3.4745487798739325
2017,718008,248933,34.66994796715357,150414,20.94879165691747,40023,5.574171875522278,109906,15.307071787500975,3574,0.49776604160399324,54860,7.640583391828503,70659,9.840976702209446,12379,1.7240754977660415,27260,3.7966150794977214
2018,718122,252979,35.22785821907698,140146,19.515625478679112,42460,5.912644369619647,113801,15.847028777839977,5049,0.7030838771128025,55450,7.721529210914023,74404,10.360913605209143,10649,1.482895663967961,23184,3.228420797580355
2019,727760,263386,36.1913268110366,117353,16.12523359349236,48061,6.603962844893921,120552,16.56480158293943,6346,0.871990766186655,61135,8.400434209079917,78855,10.835302847092448,11423,1.5696108607233152,20649,2.837336484555348
2020,263560,91684,34.78676582182425,40835,15.49362573986948,18565,7.043936864471088,44089,16.728259219911976,3260,1.236910001517681,21368,8.107451813628776,30692,11.645166186067689,4905,1.8610563059644862,8162,3.0968280467445743
2021,709486,251958,35.51275148487779,108186,15.248503846446582,50026,7.051020034221958,121610,17.140577826764726,13930,1.9633932170613655,52077,7.340102553115918,80027,11.279574226975585,11386,1.6048237738306321,20286,2.8592530367054456
2022,708156,235417,33.24366382548478,108887,15.376131812764418,52237,7.376482018086411,118787,16.77412886426155,28366,4.0056145820977305,52524,7.417009811397489,79322,11.201204254429815,11281,1.593010579589808,21335,3.012754251888002
2023,717673,230248,32.08257799861497,111206,15.495357913701643,56804,7.915025366706006,115424,16.0830907669649,42000,5.852247472038101,47485,6.616523124041172,77867,10.849927473933114,16055,2.2370912657993265,20584,2.868158618200768
2024,707963,225470,31.847709555442872,111726,15.781333205266376,57879,8.175427246904146,107612,15.200229390518997,47921,6.768856564537977,44678,6.310781778143773,72178,10.195165566562094,22094,3.1207845607750686,18405,2.599712131848698
2025,709283,226064,31.872186419243093,110128,15.526665660956205,53677,7.56778324025812,104773,14.771677877518567,49953,7.042745984325016,49646,6.999462837823549,73056,10.299978992870265,23503,3.3136279877002552,18483,2.605870999304932
