year,pitch_type,pitch_name,mean,count
2015,FF,4-Seam Fastball,2238.7400552600106,242490
2016,FF,4-Seam Fastball,2266.804330151226,252139
2017,FF,4-Seam Fastball,2259.977536080486,248888
2018,FF,4-Seam Fastball,2266.1375959645475,252958
2019,FF,4-Seam Fastball,2288.8128441133363,263358
2020,FF,4-Seam Fastball,2304.2471338555115,91412
2021,FF,4-Seam Fastball,2273.6806292517686,251219
2022,FF,4-Seam Fastball,2274.5505848675634,234754
2023,FF,4-Seam Fastball,2282.6109908903704,229208
2024,FF,4-Seam Fastball,2297.6397673476113,224541
2025,FF,4-Seam Fastball,2322.9042464021995,225485
2015,SI,Sinker,2114.5794767641996,145250
2016,SI,Sinker,2144.7979873144113,141105
2017,SI,Sinker,2145.7206780066763,150382
2018,SI,Sinker,2137.683989666148,140122
2019,SI,Sinker,2154.0571231288573,117308
2020,SI,Sinker,2155.9063037812853,40674
2021,SI,Sinker,2119.8842707074464,107570
2022,SI,Sinker,2140.204769229352,108571
2023,SI,Sinker,2149.9530336406406,110313
2024,SI,Sinker,2147.578082635993,111017
2025,SI,Sinker,2188.1723623258313,109879
2015,SL,Slider,2102.0086868527574,76092
2016,SL,Slider,2283.0390196496087,75116
2017,SL,Slider,2353.835158102767,101200
2018,SL,Slider,2386.8249534274555,105749
2019,SL,Slider,2409.9142219502537,111124
2020,SL,Slider,2426.3456784492587,43850
2021,SL,Slider,2403.7942994363802,121181
2022,SL,Slider,2398.200830884588,118428
2023,SL,Slider,2401.1321760953674,114756
2024,SL,Slider,2432.281050569136,107180
2025,SL,Slider,2434.1028992167903,104442
2015,CU,Curveball,2310.292032641874,48159
2016,CU,Curveball,2459.919827744182,54570
2017,CU,Curveball,2504.4566781299377,53795
2018,CU,Curveball,2502.7686679380913,54532
2019,CU,Curveball,2539.8028354599282,59955
2020,CU,Curveball,2558.788334990295,21123
2021,CU,Curveball,2524.4611236301303,51921
2022,CU,Curveball,2528.1922717297966,52405
2023,CU,Curveball,2547.674618966977,47240
2024,CU,Curveball,2572.8053105310532,44440
2025,CU,Curveball,2595.002904748457,49574
2015,CH,Changeup,1722.2128233877331,72243
2016,CH,Changeup,1741.602688172043,70680
2017,CH,Changeup,1773.9672347490457,70471
2018,CH,Changeup,1777.2074559098933,74223
2019,CH,Changeup,1806.841752682158,78668
2020,CH,Changeup,1766.6905230043255,30516
2021,CH,Changeup,1751.892904197252,79695
2022,CH,Changeup,1751.3740915353212,79117
2023,CH,Changeup,1792.6453348819202,77490
2024,CH,Changeup,1804.6889256704128,71896
2025,CH,Changeup,1786.5324176351935,72877
