year,count,mean,median,std,se,ci_lower,ci_upper,pct_2500plus,pct_2700plus,max,p10,p25,p75,p90
2015,242490,2238.7400552600106,2253.0,200.2783012784275,0.40671199622586257,2237.942899747408,2239.5372107726134,6.076951626871211,0.22640108870468886,3498,2023.0,2132.0,2366.0,2459.0
2016,252139,2266.804330151226,2274.0,178.91136091755132,0.356301709636862,2266.105978800338,2267.5026815021142,8.250607799666057,0.3474274110708776,3461,2049.0,2158.0,2386.0,2483.0
2017,248888,2259.977536080486,2264.0,171.4958187413391,0.34375700509933027,2259.3037723504913,2260.651299810481,7.623107582527081,0.36924239015139343,3660,2042.0,2148.0,2376.0,2475.0
2018,252958,2266.1375959645475,2267.0,169.40193603057975,0.3368171214970402,2265.477434406413,2266.797757522682,8.20768665153899,0.5708457530499135,3632,2051.0,2153.0,2378.0,2480.0
2019,263358,2288.8128441133363,2289.0,174.89032855088212,0.3407944676216216,2288.144886956798,2289.4808012698745,11.195027301240138,0.8342256548120809,3656,2067.0,2174.0,2407.0,2511.0
2020,91412,2304.2471338555115,2311.0,217.82765275488217,0.7204625422046352,2302.8350272727903,2305.6592404382327,15.018815910383756,2.3333916772415,3599,2064.0,2178.0,2436.0,2543.0
2021,251219,2273.6806292517686,2275.0,182.10722806593097,0.3633297354000636,2272.9685029703846,2274.3927555331525,10.039447653242787,1.0357496845381917,3594,2045.0,2154.0,2393.0,2500.0
2022,234754,2274.5505848675634,2282.0,168.72256058090454,0.3482303803997847,2273.86805332198,2275.233116413147,7.809025618306824,0.43108956609898025,3595,2060.0,2168.0,2389.0,2479.0
2023,229208,2282.6109908903704,2285.0,166.21106335324131,0.34717228041337206,2281.93053322076,2283.291448559981,9.25622142333601,0.407926424906635,2996,2074.0,2176.0,2394.0,2492.0
2024,224541,2297.6397673476113,2300.0,166.51462136214332,0.3514022581060178,2296.9510189217235,2298.328515773499,10.936087396065751,0.5972183253837829,3488,2087.0,2189.0,2409.0,2508.0
2025,225485,2322.9042464021995,2324.0,161.9574924009546,0.3410689747297882,2322.235751211729,2323.57274159267,13.194225779985363,0.9854314034192962,3542,2120.0,2219.0,2428.0,2527.0
