year,pitcher,total_pitches,arsenal_size,primary_pitch,primary_pct
2015,544727,1170,4,SI,62.05128205128205
2015,595014,1029,4,SI,62.390670553935855
2015,461325,1237,3,FF,45.35165723524656
2015,519301,365,3,SI,70.95890410958904
2015,592665,954,3,FF,63.312368972746334
2015,477003,2690,6,SI,27.17472118959108
2015,543699,1800,5,SI,63.61111111111111
2015,548337,697,5,FF,35.581061692969875
2015,112526,2703,5,SI,53.089160192378834
2015,594798,2975,5,FF,46.21848739495798
2015,544836,598,3,FF,67.22408026755853
2015,433585,400,4,SI,44.75
2015,542882,1086,6,FF,44.65930018416206
2015,592717,1428,4,SI,62.675070028011206
2015,571901,723,3,SI,65.283540802213
2015,519043,1056,5,FF,55.208333333333336
2015,521230,1034,5,SI,35.97678916827853
2015,571800,2507,3,FF,64.57917830075787
2015,572193,465,4,FC,39.56989247311828
2015,279824,2829,5,FF,26.263697419582893
2015,527055,556,2,SI,63.66906474820144
2015,621408,408,2,FF,64.2156862745098
2015,425794,383,4,FC,33.68146214099217
2015,571946,3245,6,SI,33.25115562403698
2015,544928,956,5,FF,33.78661087866109
2015,407793,3113,5,FF,35.75329264375201
2015,501822,652,5,FF,54.90797546012271
2015,543883,416,4,SL,52.644230769230774
2015,520980,831,4,FF,58.24308062575211
2015,534812,1043,2,FF,73.25023969319271
2015,501593,820,4,SI,39.63414634146341
2015,504379,1082,3,FF,71.81146025878003
2015,457754,314,2,FF,56.05095541401274
2015,554340,842,2,FF,66.7458432304038
2015,502032,1463,4,FF,55.36568694463432
2015,434442,756,3,SI,58.333333333333336
2015,407908,482,3,FF,49.37759336099585
2015,519240,574,2,SI,56.271777003484324
2015,477132,3387,3,FF,53.498671390611165
2015,571057,675,3,FF,54.51851851851852
2015,452666,1067,5,FF,43.39268978444236
2015,623430,254,3,FF,53.54330708661418
2015,434137,255,3,CU,45.88235294117647
2015,451775,985,4,FF,64.26395939086295
2015,515052,456,3,SL,37.93859649122807
2015,605135,1420,5,SI,33.943661971830984
2015,573064,1452,5,SL,39.0495867768595
2015,502154,903,2,SI,89.81173864894795
2015,453192,966,2,SL,54.037267080745345
2015,458677,1048,5,FF,48.854961832061065
2015,503285,1062,3,SL,44.06779661016949
2015,572038,482,2,FF,53.941908713692946
2015,542960,1307,4,FF,53.328232593726085
2015,519008,687,4,SI,66.0844250363901
2015,501957,2943,5,FF,61.70574243968739
2015,571951,596,3,FF,48.8255033557047
2015,425626,744,4,SI,43.27956989247312
2015,501381,2548,5,FF,38.69701726844584
2015,571704,1182,2,FF,60.82910321489001
2015,648737,429,4,FF,54.77855477855478
2015,570632,997,5,FF,50.55165496489469
2015,516589,357,5,SI,34.73389355742297
2015,472610,1153,4,SL,39.98265394622723
2015,571527,1230,5,FF,37.073170731707314
2015,543045,1102,3,FF,64.60980036297642
2015,460024,870,4,FC,39.54022988505747
2015,592091,228,4,FF,35.96491228070175
2015,462985,949,4,FF,42.67650158061117
2015,594951,392,3,SL,43.62244897959184
2015,450172,3294,4,SI,37.0066788099575
2015,543242,1071,3,FF,57.98319327731093
2015,456501,3265,5,FF,28.637059724349157
2015,488846,779,5,SI,31.835686777920415
2015,445060,665,5,FF,33.383458646616546
2015,446899,954,3,SI,66.0377358490566
2015,450212,849,3,SI,53.35689045936396
2015,424144,729,3,SL,42.249657064471876
2015,430589,733,2,SI,56.889495225102316
2015,543339,1159,4,FF,37.618636755823985
2015,605177,1174,3,SI,43.781942078364565
2015,448609,852,4,FF,46.71361502347418
2015,517414,1273,4,FF,39.74862529457973
2015,621121,2103,4,FF,51.78316690442225
2015,592662,2255,4,FF,45.98669623059867
2015,594986,891,5,FF,33.557800224466895
2015,453222,601,6,SI,54.409317803660564
2015,571871,537,5,FF,44.878957169459966
2015,543900,536,4,FF,46.45522388059701
2015,150116,623,5,SI,32.74478330658106
2015,543359,937,4,FF,47.171824973319104
2015,596057,1035,4,FF,58.743961352657
2015,474029,844,4,FS,61.61137440758294
2015,593423,285,2,FF,59.29824561403508
2015,446099,1070,3,FF,66.82242990654206
2015,433589,1113,5,FF,44.38454627133873
2015,502004,1053,6,FC,33.80816714150047
2015,425657,545,4,SI,71.0091743119266
2015,592612,459,4,FC,36.38344226579521
2015,458678,290,2,FF,62.06896551724138
2015,502522,527,2,FF,59.01328273244781
2015,489265,881,4,SL,57.20771850170261
2015,542674,710,4,FF,51.40845070422535
2015,346793,562,3,SI,66.54804270462633
2015,456071,1066,4,SI,44.8405253283302
