year,called_strike,swinging_strike,foul,ball,in_play
2015,31.85308866239544,6.143060707254196,11.390904245483123,38.810873135870686,0.0
2016,31.805734448906254,6.307569082899479,11.168537379991124,39.44192490447997,0.0
2017,31.788709353073212,6.681775937128043,11.24825400966341,39.53628670655949,0.0
2018,31.78223794694536,6.84460241631748,11.264191653215507,39.27412648981788,0.0
2019,31.06536378671106,7.402202933641759,11.82374369007599,38.9512825224563,0.0
2020,31.11492126517168,7.467400622659387,11.08754831626284,40.095354118726405,0.0
2021,30.242859661495064,7.50892542313117,12.106069287729197,39.33852697461213,0.0
2022,30.42940672191326,7.7099773591541565,12.210669773371729,38.59769634888884,0.0
2023,30.547198604752563,7.745258338783518,12.35339001526052,38.39819053847831,0.0
2024,30.355119418255427,7.775113037547168,12.782868898447727,37.53451633131278,0.0
2025,29.975179578217205,7.709672293724762,12.758683038282623,37.945658069924555,0.0
