year,strike_rate,in_zone_rate,n
2015,49.515407960144884,52.4702772671402,183866
2016,49.39440842524543,52.57119354035653,184778
2017,49.825265091606745,52.457430445723475,183993
2018,49.98668471024299,52.65082962407405,183999
2019,50.375622885432314,51.76353593549015,185026
2020,49.71950247409346,51.08514190317195,66489
2021,49.930029090267986,51.94184655912616,181504
2022,50.41599806563647,52.61543872761846,181972
2023,50.701983867451496,53.23032483104425,183480
2024,50.9791086810636,53.955489059285576,181798
2025,50.50270942573324,55.09725494493453,182511
