year,mean_velo,std_velo,n
2015,92.81123949429434,2.8285160584044218,69843
2016,92.8935384702166,2.773194587064596,70912
2017,92.89084875122502,2.8194825366063063,67346
2018,92.81495425553408,2.774788036445233,69298
2019,93.06102072590667,2.686955371062194,70009
2020,93.08744011234101,2.7429454917293943,24212
2021,93.36980345888468,2.5619325904108643,66958
2022,93.60598039374023,2.5448782234770855,61919
2023,93.87197574682047,2.4891609340922902,60858
2024,94.00131609713732,2.477405172800442,59874
2025,94.20811561235072,2.5332179100752845,59786
