game_year,n_hard_hit,hard_hit_rate,avg_ev,n_batted_balls
2015,48253,31.831255359852236,87.13129757899598,151590
2016,49804,26.276386390136068,84.0634460454049,189539
2017,47892,23.997234094792383,82.09026822265537,199573
2018,50604,25.13984798052561,83.48870833126335,201290
2019,52219,25.943848527154124,83.8706359892089,201277
2020,19151,24.60176763783978,82.78395123580495,77844
2021,55041,23.693624275192313,82.23290271757145,232303
2022,55592,23.605543854881443,82.2494458692846,235504
2023,57206,24.145193626675105,82.59605740213146,236925
2024,56367,23.763891465286093,82.53333234961804,237196
2025,60035,25.488672644521433,83.09324901501256,235536
